ac_no,ac_name,district,reservation,pop_total,pop_male,pop_female,pop_0_6,sc_pop,st_pop,literates,illiterates,households,total_workers,main_workers,cultivators,agri_labourers,hh_industry_workers,other_workers,sex_ratio,child_ratio_0_6,sc_pct,st_pct,literacy_pct,female_literacy_pct,workforce_participation_pct,agri_worker_share_pct,other_worker_share_pct,electors_2021,polling_pct_2021,nota_2021,total_valid_votes_2021,candidates_2021,winner_2021,winner_party_2021,winner_sex_2021,winner_age_2021,winner_vote_pct_2021,electors_2011,polling_pct_2011,nfhs_under15_pct,nfhs_sex_ratio,nfhs_female_school_pct,nfhs_tfr
178,uluberia dakshin,haora,GEN,261235,133197,128037,34427,61048,359,175256,85978,56247,94660,64099,7232,14252,10573,32041,961.0,13.18,23.37,0.14,77.27,72.42,36.24,22.7,33.85,237620,85.16,1473,200792,8,1 PULAK ROY,AITC,MALE,55,50.37,174596,85.41,21.2,1011.0,,
179,shyampur,haora,GEN,314979,160815,154163,35341,38234,212,225573,89405,72623,114439,76910,9020,18632,4911,44345,959.0,11.22,12.14,0.07,80.67,75.59,36.33,24.16,38.75,257593,86.2,1141,220747,7,1 KALIPADA MANDAL,AITC,MALE,76,51.74,208848,84.13,21.2,1011.0,,
180,bagnan,haora,GEN,278080,142818,135262,31953,26979,797,206451,71628,61093,103750,77528,6630,13201,4551,53144,947.0,11.49,9.7,0.29,83.88,79.6,37.31,19.12,51.22,231216,86.52,1546,198387,8,1 Arunava Sen (Raja),AITC,MALE,45,53.04,180651,85.58,21.2,1011.0,,
181,amta,haora,GEN,331276,170441,160835,38358,75287,417,239099,92176,71769,120634,91913,11168,16860,7242,56642,944.0,11.58,22.73,0.13,81.63,76.45,36.41,23.23,46.95,261881,79.83,1302,207508,8,1 SUKANTA KUMAR PAUL,AITC,MALE,41,49.06,206749,82.47,21.2,1011.0,,
182,udaynarayanpur,haora,GEN,269008,138163,130845,27544,62721,664,196695,72312,60539,110661,90296,12375,17846,10111,49963,947.0,10.24,23.32,0.25,81.46,75.84,41.14,27.31,45.15,235467,84.23,1216,196991,6,1 SAMIR KUMAR PANJA,AITC,MALE,55,51.21,190753,87.44,21.2,1011.0,,
183,jagatballavpur,haora,GEN,404386,205890,198495,43792,88095,3176,291942,112443,88480,159657,136882,5532,8820,29325,93203,964.0,10.83,21.79,0.79,80.96,77.1,39.48,8.99,58.38,288158,81.85,2760,232952,6,1 SITANATH GHOSH,AITC,MALE,67,49.45,225661,84.0,21.2,1011.0,,
184,domjur,haora,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,299250,83.95,2078,248896,15,1 KALYAN GHOSH,AITC,MALE,60,52.0,216676,86.31,21.2,1011.0,,
185,uttarpara,hugli,GEN,330161,169074,161087,25966,29048,1905,275162,54999,83453,121850,111225,268,597,2476,107882,953.0,7.86,8.8,0.58,90.46,87.63,36.91,0.71,88.54,259814,77.04,3342,196541,6,1 KANCHAN MULLICK,AITC,MALE,50,46.96,217099,80.77,19.9,1082.0,,
186,sreerampur,hugli,GEN,199098,104279,94818,18648,18136,1052,158069,41028,46039,70962,62692,704,644,1497,59846,909.0,9.37,9.11,0.53,87.6,83.61,35.64,1.9,84.34,252758,74.53,2387,185681,8,1 DR. SUDIPTO ROY,AITC,MALE,72,49.46,207798,73.94,19.9,1082.0,,
187,champdani,hugli,GEN,362686,188760,173925,31809,33560,1476,284690,77995,84701,129838,114566,806,1058,2274,110426,921.0,8.77,9.25,0.41,86.04,82.2,35.8,1.44,85.05,263372,76.5,3413,197784,8,1 ARINDAM GUIN (BUBAI),AITC,MALE,44,50.2,209316,77.31,19.9,1082.0,,
188,singur,hugli,GEN,309950,157320,152629,27501,51309,5331,236638,73311,73128,119213,103328,15945,12648,9361,65373,970.0,8.87,16.55,1.72,83.78,79.24,38.46,23.99,54.84,246867,85.15,2335,207593,5,1 BECHARAM MANNA,AITC,MALE,50,48.15,205596,85.18,19.9,1082.0,,
189,chandannagore,hugli,GEN,271789,139050,132738,21685,35181,1792,221207,50581,65443,96868,87525,812,947,1424,84341,955.0,7.98,12.94,0.66,88.45,84.85,35.64,1.82,87.07,229572,79.46,3000,179155,9,1 INDRANIL SEN,AITC,MALE,55,47.63,200388,79.21,19.9,1082.0,,
190,chunchura,hugli,GEN,349457,176746,172710,28210,74987,8589,280104,69352,85147,135038,116705,3370,6713,2998,103623,977.0,8.07,21.46,2.46,87.19,83.36,38.64,7.47,76.74,314274,81.66,5875,250399,10,1 Asit Mazumder (Tapan),AITC,MALE,63,45.97,263852,84.76,19.9,1082.0,,
191,balagarh,hugli,GEN,370734,189608,181126,34887,138219,25634,264914,105820,89288,148186,116145,16527,33169,4462,61986,955.0,9.41,37.28,6.91,78.88,73.17,39.97,33.54,41.83,258955,85.19,3098,216852,5,1 MANORANJAN BAPARI,AITC,MALE,55,45.63,207853,88.48,19.9,1082.0,,
192,pandua,hugli,GEN,310540,156497,154042,31276,100091,47006,211685,98855,72763,140660,94523,14062,40381,3252,36826,984.0,10.07,32.23,15.14,75.8,69.38,45.3,38.71,26.18,270503,83.09,2669,221500,8,1 Dr. Ratna De Nag,AITC,FEMALE,71,45.99,207334,87.74,19.9,1082.0,,
193,saptagram,hugli,GEN,204408,103980,100427,20528,66560,15438,142620,61787,47649,86223,64222,9605,23269,2023,29323,966.0,10.04,32.56,7.55,77.56,71.3,42.18,38.13,34.01,234840,82.27,3851,189153,9,1 TAPAN DASGUPTA,AITC,MALE,65,48.56,186882,85.56,19.9,1082.0,,
194,chanditala,hugli,GEN,298572,151303,147268,30308,42737,458,226869,71703,67553,107075,93352,4406,6181,4964,77801,973.0,10.15,14.31,0.15,84.57,80.67,35.86,9.89,72.66,263257,78.69,2153,204950,6,1 SWATI KHANDOKER,AITC,FEMALE,54,49.79,202047,81.55,19.9,1082.0,,
195,jangipara,hugli,GEN,291092,147164,143928,30595,85622,10604,209542,81550,63797,118615,93534,14430,28149,11241,39713,978.0,10.51,29.41,3.64,80.44,74.81,40.75,35.9,33.48,257025,82.01,3031,207371,8,1 SNEHASIS CHAKRABORTY,AITC,MALE,51,48.42,203459,84.82,19.9,1082.0,,
196,haripal,hugli,GEN,288991,145794,143197,28934,76704,17884,206147,82844,66285,114549,89738,17508,29083,4863,38284,982.0,10.01,26.54,6.19,79.27,73.4,39.64,40.67,33.42,269649,82.13,3897,217407,6,1 Dr. Karabi Manna,AITC,FEMALE,46,49.92,214029,85.4,19.9,1082.0,,
197,dhanekhali,hugli,GEN,321155,161527,159628,31528,105330,49881,217336,103819,77588,146068,105427,22816,51399,3441,27771,988.0,9.82,32.8,15.53,75.04,68.11,45.48,50.81,19.01,271518,86.2,2167,231656,5,1 ASIMA PATRA,AITC,FEMALE,53,53.36,222562,88.26,19.9,1082.0,,
198,tarakeswar,hugli,GEN,271934,138590,133344,25666,71738,14624,195157,76777,63494,115402,83134,17617,25120,2801,37596,962.0,9.44,26.38,5.38,79.25,72.78,42.44,37.03,32.58,239820,86.4,3427,203165,6,1 RAMENDU SINHARAY,AITC,MALE,54,46.96,197378,89.24,19.9,1082.0,,
199,pursurah,hugli,GEN,341439,174578,166860,36777,99869,1523,241115,100324,78105,128304,95285,26713,28061,3516,36994,956.0,10.77,29.25,0.45,79.14,72.07,37.58,42.69,28.83,259988,85.94,2776,220286,5,1 BIMAN GHOSH,BJP,MALE,36,53.5,214053,89.54,19.9,1082.0,,
200,arambag,hugli,GEN,292355,149249,143106,31308,101444,5052,207738,84617,65789,108542,76980,14141,22734,3530,36574,959.0,10.71,34.7,1.73,79.58,72.93,37.13,33.97,33.7,257621,85.49,3163,216789,5,1 MADHUSUDAN BAG,BJP,MALE,49,46.88,207829,88.4,19.9,1082.0,,
201,goghat,hugli,GEN,275193,141102,134091,29034,102528,15876,191930,83263,60954,106624,85112,26895,31512,2576,24129,950.0,10.55,37.26,5.77,77.97,70.73,38.75,54.78,22.63,246570,89.14,2472,217063,5,1 BISWANATH KARAK,BJP,MALE,60,46.56,193452,91.22,19.9,1082.0,,
202,khanakul,hugli,GEN,317550,162749,154801,38082,87653,477,221564,95985,70298,114285,85808,18310,20246,6881,40369,951.0,11.99,27.6,0.15,79.28,72.4,35.99,33.74,35.32,277259,78.69,3275,214713,7,1 SUSANTA GHOSH,BJP,MALE,32,49.27,219432,84.06,19.9,1082.0,,
203,tamluk,,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,266881,88.57,1130,234895,8,1 Saumen Kumar Mahapatra,AITC,MALE,65,45.86,209937,90.3,,,,
204,panskura purba,,GEN,284329,147265,137064,30630,24743,1068,215706,68623,61336,106534,74655,12126,9509,7781,45238,931.0,10.77,8.7,0.38,85.02,78.5,37.47,20.31,42.46,236306,84.01,1177,197217,8,1 Biplab Roy Chowdhury,AITC,MALE,74,45.97,186105,87.97,,,,
205,panskura paschim,,GEN,360056,184973,175083,42122,34136,13443,266647,93409,78950,157649,97388,23384,21343,8563,44097,947.0,11.7,9.48,3.73,83.87,77.0,43.78,28.37,27.97,274092,85.51,1331,232804,7,1 PHIROJA BIBI,AITC,FEMALE,70,47.71,211663,88.32,,,,
206,moyna,,GEN,320974,166657,154316,37519,76581,349,245721,75252,74402,127096,65962,17723,22074,3322,22842,926.0,11.69,23.86,0.11,86.69,80.56,39.6,31.31,17.97,255164,88.09,1324,223099,8,1 Ashoke Dinda,BJP,MALE,35,48.17,196999,90.7,,,,
207,nandakumar,,GEN,280120,144862,135258,33669,38205,586,211635,68485,62507,109750,64110,14963,15684,5671,27792,934.0,12.02,13.64,0.21,85.87,80.42,39.18,27.92,25.32,253829,89.87,2182,225802,6,1 SUKUMAR DE,AITC,MALE,60,47.6,192197,91.68,,,,
208,mahisadal,,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,245266,89.56,1759,217590,7,1 TILAK KUMAR CHAKRABORTY,AITC,MALE,55,46.49,189874,91.19,,,,
209,haldia,,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,251051,88.17,1408,219410,6,1 Tapasi Mondal,BJP,FEMALE,49,47.15,188653,92.49,,,,
210,nandigram,,GEN,316120,162490,153629,41535,53976,335,237640,78479,65836,104003,51773,9558,16271,1940,24003,945.0,13.14,17.07,0.11,86.55,82.34,32.9,24.84,23.08,257999,88.55,1089,227315,9,1 ADHIKARI SUVENDU,BJP,MALE,50,48.49,195232,88.35,,,,
211,chandipur,,GEN,298576,154345,144230,36348,32549,552,231497,67078,67168,112554,49541,10597,13545,3358,22040,934.0,12.17,10.9,0.19,88.28,83.14,37.7,21.45,19.58,245775,89.73,726,219591,8,1 Soham Chakraborty,AITC,MALE,37,49.82,188758,91.87,,,,
212,patashpur,,GEN,264532,136502,128029,29836,31461,2946,201384,63147,60249,105320,61974,24916,19531,2721,14805,938.0,11.28,11.89,1.11,85.81,79.62,39.81,42.2,14.06,236413,88.48,856,207966,5,1 UTTAM BARIK,AITC,MALE,46,50.42,182774,92.6,,,,
213,kanthi uttar,,GEN,309927,159727,150200,35764,38406,242,243793,66134,67229,122243,67084,15004,18397,2952,30731,940.0,11.54,12.39,0.08,88.92,83.61,39.44,27.32,25.14,257427,88.77,1486,226924,9,1 SUMITA SINHA,BJP,FEMALE,53,49.7,202138,91.04,,,,
214,bhagabanpur,,GEN,308084,158689,149395,35657,46659,160,243745,64339,72321,116387,57171,13406,20200,2678,20887,941.0,11.57,15.14,0.05,89.47,84.37,37.78,28.87,17.95,254184,87.66,1013,221631,5,1 RABINDRANATH MAITY,BJP,MALE,50,54.56,198952,92.37,,,,
215,khejuri,,GEN,303223,155791,147432,37893,100557,1141,232486,70737,62220,109878,51907,10669,14329,1724,25183,946.0,12.5,33.16,0.38,87.62,82.61,36.24,22.75,22.92,238630,89.2,1129,211485,5,1 SANTANU PRAMANIK,BJP,MALE,36,51.93,177602,93.24,,,,
216,kanthi dakshin,,GEN,284961,148216,136745,29151,32144,487,232218,52743,58442,101849,69608,7824,11012,2049,48723,923.0,10.23,11.28,0.17,90.78,86.17,35.74,18.49,47.84,224657,86.74,863,193811,5,1 ARUP KUMAR DAS,BJP,MALE,63,50.58,175105,87.03,,,,
217,ramnagar,,GEN,355452,182357,173094,38133,47870,1128,281027,74424,72988,126945,83257,19539,26329,1729,35659,949.0,10.73,13.47,0.32,88.56,82.44,35.71,36.13,28.09,264900,83.89,1230,220827,6,1 AKHIL GIRI,AITC,MALE,62,50.72,203723,87.61,,,,
218,egra,,GEN,339775,175477,164298,37622,45928,3581,255837,83938,73382,135236,89811,33503,28522,2065,25719,936.0,11.07,13.52,1.05,84.67,77.65,39.8,45.86,19.02,284614,84.75,1388,239424,5,1 TARUN KUMAR MAITY,AITC,MALE,53,52.22,219399,87.73,,,,
219,dantan,,GEN,279901,143638,136263,32523,26711,19498,200501,79400,59629,97948,64569,27453,22280,1034,13802,949.0,11.62,9.54,6.97,81.05,73.64,34.99,50.77,14.09,233841,84.68,1245,196548,5,1 BIKRAM CHANDRA PRADHAN,AITC,MALE,67,48.13,179499,89.34,,,,
220,nayagram,,GEN,270221,137239,132982,33234,65515,96866,154131,116090,59191,124708,60378,16692,28397,3635,11654,969.0,12.3,24.24,35.85,65.04,54.67,46.15,36.16,9.35,226791,84.96,3077,189268,8,1 DULAL MURMU,AITC,MALE,44,52.46,175005,85.88,,,,
221,gopiballavpur,,GEN,303023,153021,150002,34519,60698,71797,195889,107134,67931,137384,71618,25264,30112,1648,14594,980.0,11.39,20.03,23.69,72.96,64.56,45.34,40.31,10.62,226417,88.03,2781,196279,10,1 Dr. Khagendra Nath Mahata,AITC,MALE,39,52.3,177748,89.41,,,,
222,jhargram,,GEN,280707,141805,138902,31902,52285,67809,184333,96374,62058,121384,67985,15383,22091,1931,28580,980.0,11.36,18.63,24.16,74.09,65.7,43.24,30.87,23.55,236035,85.67,3615,198161,11,1 BIRBAHA HANSDA,AITC,FEMALE,38,54.26,184398,84.38,,,,
223,keshiary,,GEN,284429,144455,139974,32673,59204,72905,187986,96443,65574,117352,59157,18531,24477,1470,14679,969.0,11.49,20.82,25.63,74.67,66.5,41.26,36.65,12.51,238835,89.12,2564,210111,6,1 PARESH MURMU,AITC,MALE,52,50.01,182549,91.74,,,,
224,kharagpur sadar,,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,234672,73.06,2628,168742,6,1 HIRANMOY CHATTOPADHYAYA,BJP,MALE,45,46.45,195162,70.78,,,,
225,narayangarh,,GEN,308171,156128,152043,35411,58508,68485,213526,94645,70047,137179,77426,24389,32384,2778,17875,974.0,11.49,18.99,22.22,78.28,70.38,44.51,41.39,13.03,243832,89.33,1750,215994,6,1 ATTA SURJA KANTA,AITC,MALE,57,46.33,191752,92.78,,,,
226,sabang,,GEN,342978,176407,166570,40100,45544,16319,261644,81334,81374,195614,90153,36651,29712,6694,17094,944.0,11.69,13.28,4.76,86.39,79.61,57.03,33.93,8.74,264783,89.27,1515,234667,6,1 MANAS RANJAN BHUNIA,AITC,MALE,68,47.46,206439,93.34,,,,
227,pingla,,GEN,320273,162562,157711,38124,47791,66513,223222,97051,77166,148195,83100,22840,35904,2478,21877,970.0,11.9,14.92,20.77,79.12,71.33,46.27,39.64,14.76,255054,89.72,2060,226596,5,1 AJIT MAITY,AITC,MALE,66,49.17,194839,92.08,,,,
228,kharagpur,,GEN,255448,130770,124678,33754,44012,53408,159868,95580,57482,101163,71816,11337,27397,1391,31691,953.0,13.21,17.23,20.91,72.11,63.44,39.6,38.29,31.33,227081,88.32,2639,197730,7,1 DINEN ROY,AITC,MALE,65,54.85,166917,89.96,,,,
229,debra,,GEN,281167,141906,139261,30941,35818,56643,205653,75514,64841,128557,78777,22812,29201,2754,24010,981.0,11.0,12.74,20.15,82.19,75.36,45.72,40.46,18.68,234184,87.55,1346,203513,6,1 HUMAYUN KABIR,AITC,MALE,59,46.79,183967,92.69,,,,
230,daspur,,GEN,379759,193527,186232,41021,57986,2754,289140,90619,80222,148441,110725,29813,17285,8832,54794,962.0,10.8,15.27,0.73,85.36,79.02,39.09,31.73,36.91,298096,74.68,1356,221096,5,1 MAMATA BHUNIA,AITC,FEMALE,59,51.58,242616,82.09,,,,
231,ghatal,,GEN,329309,169230,160078,36687,89494,5654,243712,85597,70315,128713,96966,28373,21290,6585,40717,946.0,11.14,27.18,1.72,83.29,76.11,39.09,38.58,31.63,279908,80.62,1295,224070,6,1 SITAL KAPAT,BJP,MALE,31,46.95,224916,86.3,,,,
232,chandrakona,,GEN,348059,178091,169967,40293,114828,16452,243482,104577,76134,134951,96288,35706,33902,3608,23069,954.0,11.58,32.99,4.73,79.11,72.67,38.77,51.58,17.09,279867,89.13,2900,246409,6,1 ARUP DHARA,AITC,MALE,40,48.87,216439,92.92,,,,
233,garbeta,,GEN,284502,145009,139493,34654,72651,25859,182470,102032,57904,113967,75514,27876,30040,1233,16365,962.0,12.18,25.54,9.09,73.03,65.79,40.06,50.82,14.36,232046,89.8,2701,204962,6,1 Uttara Singha (Hazra),AITC,FEMALE,56,45.71,176796,93.21,,,,
234,salboni,,GEN,355927,179959,175968,42795,65290,62355,233291,122636,73231,160810,94128,30405,36486,2813,24424,978.0,12.02,18.34,17.52,74.5,66.94,45.18,41.6,15.19,276940,90.21,2422,247230,10,1 Srikanta Mahata,AITC,MALE,45,50.57,208500,92.92,,,,
235,keshpur,,GEN,368564,188214,180350,48608,103551,24739,248328,120236,75259,143383,94275,42320,33565,3549,14841,958.0,13.19,28.1,6.71,77.61,69.76,38.9,52.92,10.35,261529,88.08,3287,226934,4,1 Seuli Saha,AITC,FEMALE,51,50.81,194487,92.8,,,,
236,medinipur,,GEN,365357,184450,180907,39889,57613,38080,263505,101852,79249,146069,103333,12560,19112,3005,68656,981.0,10.92,15.77,10.42,80.96,75.16,39.98,21.68,47.0,280060,85.39,3900,234970,7,1 June Maliah,AITC,FEMALE,51,50.72,215287,88.01,,,,
237,binpur,,GEN,283830,143343,140487,33647,47928,98636,178422,105408,65596,132244,42645,10029,16602,1864,14150,980.0,11.85,16.89,34.75,71.32,61.22,46.59,20.14,10.7,224036,84.36,3296,185493,9,1 DEBNATH HANSDA,AITC,MALE,38,53.11,179861,82.04,,,,
238,bandwan,puruliya,GEN,359404,181465,177939,47424,24431,128518,193314,166090,72219,181519,79126,28880,28856,2698,18692,981.0,13.2,6.8,35.76,61.96,47.58,50.51,31.81,10.3,284840,85.06,4046,238101,6,1 RAJIB LOCHAN SAREN,AITC,MALE,47,47.02,223789,80.52,25.4,1065.0,,
239,balarampur,puruliya,GEN,325759,167572,158187,48379,47669,67074,170457,155302,61088,135529,65949,18512,12516,2488,32433,944.0,14.85,14.63,20.59,61.45,46.67,41.6,22.89,23.93,238113,83.27,2432,195524,9,1 BANESWAR MAHATO,BJP,MALE,48,45.22,175112,81.37,25.4,1065.0,,
240,baghmundi,puruliya,GEN,323238,165216,158022,50681,41058,60444,167969,155269,64855,141089,69405,25471,15229,4314,24391,956.0,15.68,12.7,18.7,61.63,46.8,43.65,28.85,17.29,249613,82.9,2375,203917,7,1 Sushanta Mahato,AITC,MALE,39,36.79,192018,81.59,25.4,1065.0,,
241,joypur,puruliya,GEN,342443,175349,167094,56616,39808,38830,160025,182418,63548,147091,81427,23708,9664,25849,22206,953.0,16.53,11.62,11.34,55.99,39.05,42.95,22.69,15.1,249621,81.41,2944,199811,11,1 Nara Hari Mahato,BJP,MALE,65,36.68,189809,78.82,25.4,1065.0,,
242,purulia,puruliya,GEN,320591,163999,156592,42585,71010,15760,196697,123894,61267,124366,70205,10586,7129,2738,49752,955.0,13.28,22.15,4.92,70.75,59.64,38.79,14.24,40.0,258947,80.25,2983,204280,11,1 Sudip Kumar Mukherjee,BJP,MALE,51,43.38,193014,80.21,25.4,1065.0,,
243,manbazar,puruliya,GEN,313120,158621,154499,40320,57017,74939,180791,132329,64236,155745,64111,21353,22444,1375,18939,974.0,12.88,18.21,23.93,66.27,52.33,49.74,28.12,12.16,253708,84.82,3017,211438,6,1 SANDHYARANI TUDU,AITC,FEMALE,50,48.33,200562,83.84,25.4,1065.0,,
244,kashipur,puruliya,GEN,308217,156625,151592,37635,80545,75608,189647,118570,61912,135663,61938,17250,15020,1841,27827,968.0,12.21,26.13,24.53,70.09,57.52,44.02,23.79,20.51,238871,82.17,3392,192491,6,1 KAMALAKANTA HANSDA,BJP,MALE,46,47.69,188342,82.5,25.4,1065.0,,
245,para,puruliya,GEN,313688,161505,152183,45097,108004,17637,177897,135791,57264,113141,56107,11033,9009,1892,34173,942.0,14.38,34.43,5.62,66.23,51.49,36.07,17.71,30.2,243906,79.56,3648,190364,8,1 NADIAR CHAND BOURI,BJP,MALE,43,45.02,184196,79.28,25.4,1065.0,,
246,raghunathpur,puruliya,GEN,323395,166553,156842,41623,98384,60446,187903,135492,61362,115022,65050,10191,8404,1931,44524,942.0,12.87,30.42,18.69,66.69,54.38,35.57,16.17,38.71,259434,82.96,3537,211133,8,1 Vivekananda Bauri,BJP,MALE,44,44.61,198409,81.42,25.4,1065.0,,
247,saltora,bankura,GEN,344706,177565,167140,42958,119468,33211,196708,147997,71270,131808,77656,20567,16527,2403,38158,941.0,12.46,34.66,9.63,65.19,52.59,38.24,28.14,28.95,232517,87.1,3350,199050,6,1 BAURI CHANDANA,BJP,FEMALE,30,45.28,188606,86.57,22.6,1053.0,,
248,chhatna,bankura,GEN,305995,156747,149248,37421,106769,51274,178614,127381,62382,122552,62078,15998,17864,1904,26312,952.0,12.23,34.89,16.76,66.5,53.61,40.05,27.63,21.47,242270,81.32,3510,193322,10,1 SATYANARAYAN MUKHOPADHYAY,BJP,MALE,51,45.84,194715,79.34,22.6,1053.0,,
249,ranibundh,bankura,GEN,318279,162397,155882,37147,67117,105426,193150,125129,68054,139833,68090,17086,28221,2026,20757,960.0,11.67,21.09,33.12,68.7,55.87,43.93,32.4,14.84,253359,83.51,4215,206944,8,1 Jyotsna Mandi,AITC,FEMALE,35,43.06,200986,84.83,22.6,1053.0,,
250,raipur,bankura,GEN,278366,141572,136794,32126,68812,67789,178372,99994,59197,123266,59291,19075,24275,1666,14275,966.0,11.54,24.72,24.35,72.44,61.23,44.28,35.17,11.58,224604,86.83,2973,191490,6,1 MRITYUNJOY MURMU,AITC,MALE,47,51.96,178332,87.23,22.6,1053.0,,
251,taldangra,bankura,GEN,291877,148877,143000,35364,85185,38571,177945,113932,61072,120050,63514,19500,24665,1947,17402,961.0,12.12,29.19,13.21,69.37,58.79,41.13,36.79,14.5,233291,87.25,3509,199668,9,1 ARUP CHAKRABORTY,AITC,MALE,65,45.29,179758,87.48,22.6,1053.0,,
252,bankura,bankura,GEN,319201,162864,156337,33162,91661,10425,222230,96971,67210,117264,88504,9867,9918,4892,63827,960.0,10.39,28.72,3.27,77.69,69.32,36.74,16.87,54.43,269829,80.81,4491,213479,12,1 NILADRI SEKHAR DANA,BJP,MALE,54,43.79,215037,80.14,22.6,1053.0,,
253,barjora,bankura,GEN,265572,136353,129219,30298,91884,5299,166395,99177,57955,103406,65902,16214,18968,1960,28758,948.0,11.41,34.6,2.0,70.72,60.46,38.94,34.02,27.81,250729,87.64,4894,214549,8,1 ALOK MUKHERJEE,AITC,MALE,61,42.51,203655,86.97,22.6,1053.0,,
254,onda,bankura,GEN,324214,165914,158300,41248,107039,13299,190145,134069,67989,126970,88808,26047,30029,3800,28932,954.0,12.72,33.01,4.1,67.2,57.21,39.16,44.16,22.79,256906,88.06,4869,220880,9,1 AMARNATH SHAKHA,BJP,MALE,56,46.48,199552,87.25,22.6,1053.0,,
255,bishunpur,bankura,GEN,265281,134474,130807,30353,74674,19457,166834,98447,57405,109092,75523,15121,22277,3022,35103,973.0,11.44,28.15,7.33,71.01,62.61,41.12,34.28,32.18,219284,87.69,3975,188050,7,1 TANMAY GHOSH (BUMBA),BJP,MALE,41,46.84,171567,90.05,22.6,1053.0,,
256,katulpur,bankura,GEN,308462,157423,151039,33964,110987,8421,209639,98823,67496,124914,89955,29694,33064,2993,24204,959.0,11.01,35.98,2.73,76.37,68.4,40.5,50.24,19.38,246785,90.92,1833,222267,6,1 HARAKALI PROTIHER,BJP,MALE,40,47.31,190151,92.55,22.6,1053.0,,
257,indus,bankura,GEN,304222,155081,149141,33301,135777,6730,192429,111793,67477,126817,86185,25704,36610,1476,22395,962.0,10.95,44.63,2.21,71.03,63.11,41.69,49.14,17.66,242938,90.09,3164,215271,4,1 NIRMAL KUMAR DHARA,BJP,MALE,39,48.04,188746,92.57,22.6,1053.0,,
258,sonamukhi,bankura,GEN,283310,145356,137954,32503,120006,8622,170223,113087,62240,125215,95460,24934,42383,3541,24602,949.0,11.47,42.36,3.04,67.87,58.8,44.2,53.76,19.65,233059,89.23,2062,205663,6,1 DIBAKAR GHARAMI,BJP,MALE,43,47.25,180448,91.53,22.6,1053.0,,
259,khandaghosh,barddhaman,GEN,320148,163834,156313,35332,128070,14107,211965,108182,74040,134599,93863,20202,46871,1926,24863,954.0,11.04,40.0,4.41,74.42,67.15,42.04,49.83,18.47,242730,89.81,1934,215953,6,1 NABIN CHANDRA BAG,AITC,MALE,45,47.85,194922,92.86,,,,
260,bardhaman dakshin,barddhaman,GEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,257940,80.0,4250,201638,9,1 KHOKAN DAS,AITC,MALE,54,44.32,215484,86.71,,,,
261,raina,barddhaman,GEN,323773,165454,158318,33395,122099,16682,233281,90491,72825,128132,92746,22922,43054,1404,25365,957.0,10.31,37.71,5.15,80.34,74.24,39.57,51.49,19.8,258742,88.67,1556,227603,6,1 Shampa Dhara,AITC,FEMALE,29,47.46,209734,92.29,,,,
262,jamalpur,barddhaman,GEN,298369,150609,147760,30869,109366,44346,198628,99740,70596,133350,97932,20505,50705,3233,23487,981.0,10.35,36.65,14.86,74.25,67.6,44.69,53.4,17.61,235973,87.67,2859,203825,7,1 ALOK KUMAR MAJHI,AITC,MALE,38,46.93,188058,92.17,,,,
263,monteswar,barddhaman,GEN,297788,151849,145939,32015,69924,25991,198731,99057,68740,114885,89309,19322,43946,2620,23421,961.0,10.75,23.48,8.73,74.77,68.9,38.58,55.07,20.39,242229,86.38,1604,207425,6,1 CHOWDHURY SIDDIQULLAH,AITC,MALE,71,50.45,191823,90.33,,,,
264,kalna,barddhaman,GEN,309275,157310,151964,29153,108449,33955,221585,87690,72757,129416,104214,15340,32953,7686,48233,966.0,9.43,35.07,10.98,79.1,73.14,41.85,37.32,37.27,241471,86.76,2956,206444,6,1 DEBOPRASAD BAG (POLTU),AITC,MALE,44,45.98,187742,90.69,,,,
265,memari,barddhaman,GEN,282787,143367,139420,28396,89128,43397,192275,90512,66241,126029,93351,12374,39294,4025,37657,972.0,10.04,31.52,15.35,75.58,68.8,44.57,41.0,29.88,254236,86.1,1666,217129,7,1 MADHUSUDAN BHATTACHARYA,AITC,MALE,71,47.92,203430,90.84,,,,
266,bardhaman uttar,barddhaman,GEN,310572,157412,153160,32609,106754,27720,209298,101273,72279,126410,89282,13669,32234,2025,41352,973.0,10.5,34.37,8.93,75.3,68.43,40.7,36.31,32.71,277026,87.39,2388,239529,5,1 NISITH KUMAR MALIK,AITC,MALE,52,45.97,211206,91.46,,,,
267,bhatar,barddhaman,GEN,291731,148648,143083,31788,94902,26610,187001,104730,66641,124644,92529,20431,47683,2540,21875,963.0,10.9,32.53,9.12,71.94,65.5,42.73,54.65,17.55,246694,87.13,4927,209822,9,1 ADHIKARI MANGOBINDA,AITC,MALE,66,50.44,197674,89.79,,,,
